Basin,Mean dH,dh_median_smooth,Smooth dH,std_dh,error_dh,time,Dates,dates
CW,0.141204505916159,0.240454211054135,0.174705593062141,4.37942549305145,0.0649820753139416,2005.75616438356,2005,2005-10-03 23:59:59.999997
CW,0.351251318043894,0.141204505916159,0.137226780699017,5.5963308974839,0.0824327961080303,2006.1397260274,2006,2006-02-21 00:00:00.000000
CW,0.0677956580906318,0.0677956580906318,0.0945290628675392,4.44915629459681,0.0669140636183356,2006.52328767123,2006,2006-07-10 23:59:59.999996
CW,-0.0463594456539889,-0.0318358900373847,0.048706054772731,4.16873760088645,0.061384667848636,2006.90684931507,2006,2006-11-28 00:00:00.000000
CW,-0.0345091838734128,-0.0345091838734128,0.00207460071214427,4.0070226324147,0.0598196352576165,2007.2904109589,2007,2007-04-17 00:00:00.000003
CW,-0.0318358900373847,-0.0463594456539889,-0.043525104361692,4.7412036576341,0.0711136104027465,2007.67397260274,2007,2007-09-03 23:59:59.999999
CW,-0.0584406966515549,-0.0584406966515549,-0.0868600773695182,3.83997133104218,0.0571667412779412,2008.05719365222,2008,2008-01-21 22:23:20.547944
CW,-0.161221682800538,-0.131610358942696,-0.126787532133536,3.82083472993537,0.0580381818880581,2008.43989071038,2008,2008-06-10 00:00:00.000001
CW,-0.163782219787161,-0.161221682800538,-0.16167716036225,4.00092690564362,0.0597286339867162,2008.82242308556,2008,2008-10-28 00:09:51.780823
CW,-0.131610358942696,-0.163782219787161,-0.18943776198449,3.77840111730647,0.056318820997887,2009.20547945205,2009,2009-03-16 23:59:59.999999
CW,-0.39265808291035,-0.363535979236514,-0.208504531011722,2.91828515449034,0.043934933559537,2009.58904109589,2009,2009-08-04 00:00:00.000002
CW,-0.386206597903682,-0.363535979236514,-0.219351829981998,3.2722574493402,0.0489269356184317,2009.97260273973,2009,2009-12-21 23:59:59.999998
CW,-0.363535979236514,-0.363535979236514,-0.225432532633048,3.30780934016762,0.0498048848434914,2010.35616438356,2010,2010-05-11 00:00:00.000001
CW,0.032329692449522,-0.193236652381024,-0.23268072665243,2.86425640859241,0.0478507213758404,2010.7397260274,2010,2010-09-27 23:59:59.999998
CW,-0.0455633936003099,-0.193236652381024,-0.247543869376959,2.76995026658278,0.0331522609767452,2011.12328767123,2011,2011-02-15 00:00:00.000001
CW,-0.193236652381024,-0.193236652381024,-0.274525524417414,2.50706258776074,0.0296201591373858,2011.50684931507,2011,2011-07-04 23:59:59.999997
CW,-0.31450129038833,-0.302686604251836,-0.314711737658166,2.25899853104376,0.0268018314766667,2011.89029867505,2011,2011-11-21 23:00:59.016390
CW,-0.302686604251836,-0.31450129038833,-0.36589486634275,2.30687385639367,0.0275233113472526,2012.27322404372,2012,2012-04-09 23:59:59.999999
CW,-0.49464461633367,-0.49464461633367,-0.424029374911573,1.82425387647817,0.0214440095257705,2012.65573770492,2012,2012-08-27 23:59:59.999999
CW,-0.497229807625529,-0.497229807625529,-0.485033040573373,1.86037953613272,0.0218069801407913,2013.03856576091,2013,2013-01-15 01:50:09.836063
CW,-0.540563521023148,-0.540563521023148,-0.545996808566561,1.64136774212614,0.0196110941263507,2013.42191780822,2013,2013-06-04 00:00:00.000000
CW,-0.655027126524558,-0.617808380397188,-0.605533310478544,1.44117414192075,0.0172413429130257,2013.80547945205,2013,2013-10-22 00:00:00.000003
CW,-0.617808380397188,-0.655027126524558,-0.663404835057211,1.35957951322166,0.0159006991239986,2014.18904109589,2014,2014-03-10 23:59:59.999999
CW,-0.738512962967876,-0.738512962967876,-0.719874226352055,1.21954440306839,0.0144347526256757,2014.57260273973,2014,2014-07-29 00:00:00.000003
CW,-0.786343180409405,-0.786343180409405,-0.775129032171951,1.12242045615211,0.0132898310868369,2014.95616438356,2014,2014-12-15 23:59:59.999999
CW,-0.799107763373079,-0.799107763373079,-0.82889635615834,0.98449658415936,0.0115202940215191,2015.3397260274,2015,2015-05-05 00:00:00.000002
CW,-0.918044849395809,-0.918044849395809,-0.880389425516929,0.899155181154301,0.0105739066105709,2015.72328767123,2015,2015-09-21 23:59:59.999998
CW,-0.938762217356568,-0.938762217356568,-0.928530344781851,0.779757210792978,0.00917551939453367,2016.1064413504,2016,2016-02-08 22:58:50.958904
CW,-0.998798037129952,-0.998798037129952,-0.972479666563872,0.932953999938934,0.010988865101347,2016.48907103825,2016,2016-06-27 23:59:59.999997
CW,-1.10124114390406,-1.03025665782042,-1.0122544556789,0.849142871463648,0.0101746670771234,2016.87167078374,2016,2016-11-15 00:45:22.191783
CW,-1.03025665782042,-1.03146066559243,-1.04922347493859,0.782422304166855,0.00920560537247702,2017.25479452055,2017,2017-04-03 23:59:59.999998
